Country Name,1965,1975,1985,1995,2005,2015,,,,,,,,,,,,,,,,,11/5/17
Heavily indebted poor countries (HIPC),2.51117188,2.695490158,2.691900179,2.971584364,2.884985549,2.800618697,,,,,,,,,,,,,,,,,
Croatia,0.639314753,0.377317061,0.447714211,0.407769639,0.067559962,-0.824099164,,,,,,,,,,,,,,,,,
Haiti,1.99806287,1.814150063,2.279249944,1.870304875,1.569191526,1.302387138,,,,,,,,,,,,,,,,,
Hungary,0.277287713,0.588081809,-0.181847163,-0.139220004,-0.198878843,-0.237855002,,,,,,,,,,,,,,,,,
IBRD only,2.254782996,2.015123887,1.825687455,1.397984608,1.069602893,0.971623786,,,,,,,,,,,,,,,,,
IDA & IBRD total,2.310828258,2.117918285,2.00609371,1.641920972,1.359970057,1.294651505,,,,,,,,,,,,,,,,,
IDA total,2.584909991,2.605566436,2.792836927,2.600932765,2.371523811,2.283674082,,,,,,,,,,,,,,,,,
IDA blend,2.557284086,2.874174184,3.012146562,2.458635989,2.255605843,2.339469769,,,,,,,,,,,,,,,,,
Indonesia,2.698730609,2.524548074,2.117013569,1.541372521,1.3759456,1.181013915,,,,,,,,,,,,,,,,,
IDA only,2.59801961,2.476983087,2.683283399,2.672463077,2.428685314,2.256100731,,,,,,,,,,,,,,,,,
Isle of Man,1.507081533,1.393367332,0.333911464,0.36028862,1.026029244,0.696202671,,,,,,,,,,,,,,,,,
India,2.074367085,2.32052454,2.253971506,1.921399359,1.584251766,1.167527075,,,,,,,,,,,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,
Ireland,0.374313833,1.645353656,0.160073466,0.512695055,2.178703014,1.282772382,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",2.626980015,2.929880378,4.025637565,1.414011196,1.14928037,1.203520261,,,,,,,,,,,,,,,,,
Iraq,3.074482948,3.237972276,2.4099357,3.070902729,2.594863062,3.120450103,,,,,,,,,,,,,,,,,
Iceland,1.732678311,1.27890789,0.787667614,0.542467998,1.582891978,1.041940387,,,,,,,,,,,,,,,,,
Israel,3.493805136,2.283471582,1.763630078,2.668286957,1.762897661,1.981288976,,,,,,,,,,,,,,,,,
Italy,0.842108617,0.597247219,0.028899939,0.001588562,0.491389108,-0.096376133,,,,,,,,,,,,,,,,,
Jamaica,1.478767047,1.47566958,1.277713218,0.965894179,0.580841871,0.343459143,,,,,,,,,,,,,,,,,
Jordan,6.254519975,2.856071984,4.072042227,3.946410673,3.173967147,3.896131218,,,,,,,,,,,,,,,,,
Japan,1.074694267,1.60110038,0.611368674,0.381789601,0.009392097,-0.106124994,,,,,,,,,,,,,,,,,
Kazakhstan,2.813785568,1.315165406,1.234327643,-1.752259011,0.888891382,1.463577578,,,,,,,,,,,,,,,,,
Kenya,3.256617961,3.693440984,3.698302649,2.961421937,2.737271423,2.599336534,,,,,,,,,,,,,,,,,
Kyrgyz Republic,3.078015946,2.102497532,1.869355155,0.998300396,1.127864459,2.059025966,,,,,,,,,,,,,,,,,
Cambodia,2.119250047,-0.11732418,3.522483747,3.225832324,1.570832895,1.60352658,,,,,,,,,,,,,,,,,
Kiribati,2.237843447,1.440476212,1.953236399,1.371774285,1.950112929,1.749085489,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,-1.444388865,-0.124143707,-0.666613782,1.215064677,1.325318109,1.016421314,,,,,,,,,,,,,,,,,
"Korea, Rep.",2.542150951,1.682000055,0.984565597,1.006200855,0.211997784,0.527288497,,,,,,,,,,,,,,,,,
Kuwait,10.76239932,6.043328746,4.900257964,,3.063370342,3.97406926,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),2.780907442,2.456451763,2.107236831,1.71574377,1.310214054,1.107053687,,,,,,,,,,,,,,,,,
Lao PDR,2.355105345,2.006242837,2.791303199,2.325781994,1.566261806,1.322792589,,,,,,,,,,,,,,,,,
Lebanon,2.47455808,1.572778633,0.350424953,1.955910138,3.148874851,4.334248771,,,,,,,,,,,,,,,,,
Liberia,2.311313894,2.875447992,1.5381157,2.966030333,2.63515373,2.449607646,,,,,,,,,,,,,,,,,
Libya,3.85101852,4.17854829,3.33515766,1.913499915,1.529569378,0.49597085,,,,,,,,,,,,,,,,,
St. Lucia,1.557200934,1.133309733,1.554522188,1.229612025,0.897648412,0.443971354,,,,,,,,,,,,,,,,,
Latin America & Caribbean,2.720928063,2.398404695,2.066888215,1.691109662,1.284743047,1.077422883,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,2.522899547,2.411431573,2.639957769,2.70025682,2.490020941,2.401945134,,,,,,,,,,,,,,,,,
Low income,2.366929112,2.518125725,2.497707335,2.821804507,2.809236509,2.736842364,,,,,,,,,,,,,,,,,
Liechtenstein,2.602064294,1.943482195,0.906617841,1.529491563,0.737245592,0.740644738,,,,,,,,,,,,,,,,,
Sri Lanka,2.365633495,1.583304173,1.578946663,0.900356218,0.751279407,0.934429494,,,,,,,,,,,,,,,,,
Lower middle income,2.328814756,2.383294853,2.399530807,1.961650132,1.66872536,1.463033792,,,,,,,,,,,,,,,,,
Low & middle income,2.328500806,2.130735014,2.01451869,1.653412076,1.367292827,1.301012329,,,,,,,,,,,,,,,,,
Lesotho,1.928496833,2.354922431,2.05744005,1.666048768,0.814524015,1.335998003,,,,,,,,,,,,,,,,,
Late-demographic dividend,2.228342807,1.743650547,1.441841844,1.105245465,0.652622881,0.605921304,,,,,,,,,,,,,,,,,
Lithuania,1.227445511,0.844284714,0.859591157,-0.769728018,-1.628401126,-0.940753797,,,,,,,,,,,,,,,,,
Luxembourg,1.137668698,1.092447839,0.193256819,1.404742464,1.530054663,2.359951181,,,,,,,,,,,,,,,,,
Latvia,1.122646396,0.77428454,0.654593344,-1.425810812,-1.080571457,-0.818626341,,,,,,,,,,,,,,,,,
"Macao SAR, China",4.874022225,-1.093212949,4.172146597,2.0235197,2.328377786,2.044412618,,,,,,,,,,,,,,,,,
St. Martin (French part),1.939783421,3.444434609,18.51842783,-1.173087453,1.414675343,0.70792281,,,,,,,,,,,,,,,,,
Morocco,2.648446024,2.196151473,2.242454737,1.519071574,1.126150291,1.404045472,,,,,,,,,,,,,,,,,
Monaco,0.19777297,1.447099125,1.126487578,0.863907988,1.427595139,0.457882248,,,,,,,,,,,,,,,,,
Moldova,1.821804271,1.113528363,0.956945102,-0.431735297,-0.24330723,-0.064383615,,,,,,,,,,,,,,,,,
Madagascar,2.528643952,2.821939193,2.848587822,3.081080716,2.953901101,2.694577946,,,,,,,,,,,,,,,,,
Maldives,2.514665957,3.218569386,3.588242921,4.000533461,2.843793532,2.015218235,,,,,,,,,,,,,,,,,
Middle East & North Africa,2.806081096,2.874368701,3.296741123,2.734914867,2.02004827,1.885618125,,,,,,,,,,,,,,,,,
Mexico,3.092321741,2.974872917,2.0636601,1.820307773,1.370662385,1.334898066,,,,,,,,,,,,,,,,,
Marshall Islands,3.377387546,4.171678791,4.73290455,0.866232407,-0.036493196,0.181316863,,,,,,,,,,,,,,,,,
Middle income,2.325670437,2.101725861,1.976714539,1.553746591,1.226383878,1.136965797,,,,,,,,,,,,,,,,,
"Macedonia, FYR",1.473407153,1.037638707,0.359914027,0.07813456,0.15665537,0.087230505,,,,,,,,,,,,,,,,,
Mali,1.169280307,1.773189651,1.780620959,2.648822287,3.230500808,2.93397742,,,,,,,,,,,,,,,,,
Malta,-0.765568929,0.73439258,1.75674825,0.697143007,0.637436918,1.049776993,,,,,,,,,,,,,,,,,
Myanmar,2.263030447,2.363468424,2.044842304,1.222979544,0.846986381,0.919199181,,,,,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),2.724247179,2.682390542,3.128619653,2.105885738,1.764786607,1.7645243,,,,,,,,,,,,,,,,,
Montenegro,0.872839676,1.39767834,0.748418872,0.052816572,0.147929262,0.056110724,,,,,,,,,,,,,,,,,
Mongolia,2.989719558,2.825748415,2.678324521,0.76631874,1.179084378,1.795779088,,,,,,,,,,,,,,,,,
Northern Mariana Islands,2.25854241,1.721419609,10.08182404,5.286755104,-2.966053899,0.636874888,,,,,,,,,,,,,,,,,
Mozambique,2.13215646,2.628096887,1.011109045,3.500389133,2.960582561,2.891416842,,,,,,,,,,,,,,,,,
Mauritania,2.926418651,2.893604991,2.815050524,2.862669701,2.847730711,2.872311257,,,,,,,,,,,,,,,,,
Mauritius,2.231757997,1.57717041,0.817321395,0.859933461,0.59209966,0.132433083,,,,,,,,,,,,,,,,,
Malawi,2.374954091,2.906201363,4.469110644,1.137854922,2.828595406,2.91437124,,,,,,,,,,,,,,,,,
Malaysia,2.903210983,2.42285981,2.645880228,2.513332384,1.909365769,1.624739528,,,,,,,,,,,,,,,,,
North America,1.310310518,1.078881594,0.894351398,1.16132474,0.932302331,0.744636891,,,,,,,,,,,,,,,,,
Namibia,2.562623862,2.694347203,3.290501402,2.982431464,1.136641307,2.275440487,,,,,,,,,,,,,,,,,
